Sequence,Age,Sex,Height,Drunk,Timestamp,Image Number,Color,Word,Response,Time Taken
7,22,m,511,d,1742623167.3847516
0,0,0,0,0,0,16,yellow,green,y,3.4183223247528076
0,0,0,0,0,0,14,green,green,y,2.5591158866882324
0,0,0,0,0,0,4,yellow,red,n,2.5178921222686768
0,0,0,0,0,0,9,blue,yellow,y,2.4601426124572754
0,0,0,0,0,0,5,blue,blue,y,2.7145562171936035
0,0,0,0,0,0,12,yellow,yellow,y,2.59212327003479
0,0,0,0,0,0,10,green,yellow,y,3.264577627182007
0,0,0,0,0,0,15,red,green,y,3.022000789642334
0,0,0,0,0,0,3,red,red,y,2.4486818313598633
0,0,0,0,0,0,6,green,blue,y,2.971234083175659
0,0,0,0,0,0,11,red,yellow,y,3.5524532794952393
0,0,0,0,0,0,8,yellow,blue,y,3.2451603412628174
0,0,0,0,0,0,7,red,blue,y,2.4705288410186768
0,0,0,0,0,0,1,blue,red,y,3.4082095623016357
0,0,0,0,0,0,13,blue,green,y,2.5089633464813232
0,0,0,0,0,0,13,blue,green,y,3.454789400100708
0,0,0,0,0,0,0,0,0,0,0,3.39
0,0,0,0,0,0,0,0,0,0,0,4.5
