Sequence,Age,Sex,Height,Drunk,Timestamp,Image Number,Color,Word,Response,Time Taken
8,25,f,555,s,1742520910.4150336
0,0,0,0,0,0,16,yellow,green,y,3.5096564292907715
0,0,0,0,0,0,6,green,blue,n,3.5550005435943604
0,0,0,0,0,0,3,red,red,y,4.462245225906372
0,0,0,0,0,0,1,blue,red,y,18.570359468460083
0,0,0,0,0,0,11,red,yellow,y,2.4917852878570557
0,0,0,0,0,0,13,blue,green,y,2.5472540855407715
0,0,0,0,0,0,5,blue,blue,y,2.5506272315979004
0,0,0,0,0,0,15,red,green,y,2.4626057147979736
0,0,0,0,0,0,9,blue,yellow,y,3.5545578002929688
0,0,0,0,0,0,8,yellow,blue,y,4.569429636001587
0,0,0,0,0,0,14,green,green,y,4.500113487243652
0,0,0,0,0,0,7,red,blue,y,3.6930949687957764
0,0,0,0,0,0,12,yellow,yellow,y,2.48391056060791
0,0,0,0,0,0,4,yellow,red,y,3.5748298168182373
0,0,0,0,0,0,2,green,red,y,2.487173318862915
0,0,0,0,0,0,2,green,red,y,3.5034444332122803
8,44,m,234,s,1742521667.7463784
0,0,0,0,0,0,3,red,red,y,3.5986690521240234
0,0,0,0,0,0,15,red,green,y,2.4671037197113037
0,0,0,0,0,0,11,red,yellow,y,3.4902777671813965
0,0,0,0,0,0,6,green,blue,y,2.5422675609588623
0,0,0,0,0,0,12,yellow,yellow,y,3.466804027557373
0,0,0,0,0,0,16,yellow,green,y,2.5767383575439453
0,0,0,0,0,0,14,green,green,y,1.4926040172576904
0,0,0,0,0,0,4,yellow,red,y,3.5657548904418945
0,0,0,0,0,0,10,green,yellow,y,1.505030632019043
0,0,0,0,0,0,9,blue,yellow,y,1.5367329120635986
0,0,0,0,0,0,7,red,blue,y,1.5351760387420654
0,0,0,0,0,0,8,yellow,blue,y,1.5394103527069092
0,0,0,0,0,0,13,blue,green,y,1.4697473049163818
0,0,0,0,0,0,2,green,red,y,1.5565133094787598
0,0,0,0,0,0,1,blue,red,y,3.4729886054992676
0,0,0,0,0,0,1,blue,red,y,2.5577166080474854
