response,image_number
y,1
n,2
y,3
y,4
y,5
y,6
y,7
y,8
n,9
n,10
n,11
n,12
n,13
n,14
n,15
n,16
n,0
y,1
n,2
y,3
n,1
n,1
y,2
n,1
y,2
n,3
n,1
y,2
n,3
y,4
y,1
y,1
n,2
y,1
n,2
n,3
y,1
n,2
n,3
y,4
y,1
n,2
n,3
y,4
n,5
y,1
n,2
n,3
y,4
n,5
y,6
y,1
n,2
n,3
y,4
n,5
y,6
y,7
y,1
n,2
n,3
y,4
n,5
y,6
y,7
y,8
y,1
n,2
n,3
y,4
n,5
y,6
y,7
y,8
y,9
y,1
n,2
n,3
y,4
n,5
y,6
y,7
y,8
y,9
y,10
y,1
n,2
n,3
y,4
n,5
y,6
y,7
y,8
y,9
y,10
y,11
y,1
n,2
n,3
y,4
n,5
y,6
y,7
y,8
y,9
y,10
y,11
y,12
y,1
n,2
n,3
y,4
n,5
y,6
y,7
y,8
y,9
y,10
y,11
y,12
y,13
y,1
n,2
n,3
y,4
n,5
y,6
y,7
y,8
y,9
y,10
y,11
y,12
y,13
y,14
y,1
n,2
n,3
y,4
n,5
y,6
y,7
y,8
y,9
y,10
y,11
y,12
y,13
y,14
y,15
y,1
n,2
n,3
y,4
n,5
y,6
y,7
y,8
y,9
y,10
y,11
y,12
y,13
y,14
y,15
y,16
y,1
n,2
n,3
y,4
n,5
y,6
y,7
y,8
y,9
y,10
y,11
y,12
y,13
y,14
y,15
y,16
y,0
y,1
n,2
n,3
y,4
n,5
y,6
y,7
y,8
y,9
y,10
y,11
y,12
y,13
y,14
y,15
y,16
y,0
y,1
y,1
n,2
n,3
y,4
n,5
y,6
y,7
y,8
y,9
y,10
y,11
y,12
y,13
y,14
y,15
y,16
y,0
y,1
y,2
y,1
y,1
y,2
y,1
y,2
y,3
y,1
y,2
y,3
y,4
y,1
y,2
y,3
y,4
y,5
y,1
y,1
y,1
y,1
n,2
y,1
n,2
y,3
y,1
n,2
y,3
n,4
n,1
n,1
n,2
n,1
n,2
y,3
n,1
n,2
y,3
y,4
n,1
n,2
y,3
y,4
y,5
n,1
n,2
y,3
y,4
y,5
y,6
n,1
n,2
y,3
y,4
y,5
y,6
y,7
y,1
y,1
n,2
y,1
n,2
n,3
y,1
n,2
n,3
n,4
y,1
n,2
n,3
n,4
n,5
y,1
n,2
n,3
n,4
n,5
n,6
y,1
n,1
n,1
y,2
n,1
y,2
y,3
n,1
y,2
y,3
y,4
n,1
y,2
y,3
y,4
y,5
